data_type,0,1,2,3,site_id
TA_F_QC,244413,656,691,0,FR-Pue
SW_IN_F_QC,243991,887,882,0,FR-Pue
LW_IN_F_QC,157188,2650,85922,0,FR-Pue
VPD_F_QC,244036,1031,693,0,FR-Pue
P_F_QC,245066,0,694,0,FR-Pue
PA_F_QC,167305,0,78455,0,FR-Pue
G_F_MDS_QC,118776,2590,5147,16981,FR-Pue
LE_F_MDS_QC,200474,42644,2472,170,FR-Pue
H_F_MDS_QC,174992,68291,2272,205,FR-Pue
NEE_VUT_REF_QC,104186,129287,11770,517,FR-Pue
NEE_CUT_REF_QC,102025,131020,12190,525,FR-Pue
TA_F_QC,270046,721,1,0,US-NR1
SW_IN_F_QC,269305,852,611,0,US-NR1
LW_IN_F_QC,225186,3160,42422,0,US-NR1
VPD_F_QC,269468,1294,6,0,US-NR1
P_F_QC,266976,0,3792,0,US-NR1
PA_F_QC,180819,0,89949,0,US-NR1
G_F_MDS_QC,257751,5871,4936,2210,US-NR1
LE_F_MDS_QC,244800,25076,890,2,US-NR1
H_F_MDS_QC,243833,25750,1184,1,US-NR1
NEE_VUT_REF_QC,126191,133400,11041,136,US-NR1
NEE_CUT_REF_QC,125082,134257,11281,148,US-NR1
TA_F_QC,188615,826,1311,0,US-SRM
SW_IN_F_QC,189563,687,502,0,US-SRM
LW_IN_F_QC,180505,3893,6354,0,US-SRM
VPD_F_QC,188613,828,1311,0,US-SRM
P_F_QC,190572,0,180,0,US-SRM
PA_F_QC,187701,0,3051,0,US-SRM
G_F_MDS_QC,190156,545,51,0,US-SRM
LE_F_MDS_QC,169248,20552,783,169,US-SRM
H_F_MDS_QC,181370,8651,564,167,US-SRM
NEE_VUT_REF_QC,96601,88681,5165,305,US-SRM
NEE_CUT_REF_QC,88005,95850,6601,296,US-SRM
TA_F_QC,228390,2357,181,0,US-Ton
SW_IN_F_QC,230048,695,185,0,US-Ton
LW_IN_F_QC,0,0,230928,0,US-Ton
VPD_F_QC,230264,636,28,0,US-Ton
P_F_QC,230621,0,307,0,US-Ton
PA_F_QC,230211,0,717,0,US-Ton
G_F_MDS_QC,227740,2779,327,82,US-Ton
LE_F_MDS_QC,166059,59897,4944,28,US-Ton
H_F_MDS_QC,177417,49063,4424,24,US-Ton
NEE_VUT_REF_QC,65566,149202,15939,221,US-Ton
NEE_CUT_REF_QC,64659,149698,16308,263,US-Ton
TA_F_QC,242346,3081,285,0,US-Var
SW_IN_F_QC,244314,750,648,0,US-Var
LW_IN_F_QC,177806,5255,62651,0,US-Var
VPD_F_QC,242784,2667,261,0,US-Var
P_F_QC,244960,0,752,0,US-Var
PA_F_QC,239952,0,5760,0,US-Var
G_F_MDS_QC,236712,6564,2260,176,US-Var
LE_F_MDS_QC,208189,35631,1829,63,US-Var
H_F_MDS_QC,226061,18463,1126,62,US-Var
NEE_VUT_REF_QC,103239,130944,11371,158,US-Var
NEE_CUT_REF_QC,104183,129935,11435,159,US-Var
TA_F_QC,185695,1067,6,0,US-Wkg
SW_IN_F_QC,185998,768,2,0,US-Wkg
LW_IN_F_QC,176736,2588,7444,0,US-Wkg
VPD_F_QC,185319,1440,9,0,US-Wkg
P_F_QC,186767,0,1,0,US-Wkg
PA_F_QC,184715,0,2053,0,US-Wkg
G_F_MDS_QC,186479,286,3,0,US-Wkg
LE_F_MDS_QC,161679,24721,368,0,US-Wkg
H_F_MDS_QC,172514,14115,139,0,US-Wkg
NEE_VUT_REF_QC,78418,103014,5332,4,US-Wkg
NEE_CUT_REF_QC,78313,103262,5189,4,US-Wkg
TA_F_QC,238691,3084,17329,0,US-ARM
SW_IN_F_QC,222488,1128,35488,0,US-ARM
LW_IN_F_QC,190553,1042,67509,0,US-ARM
VPD_F_QC,238466,3309,17329,0,US-ARM
P_F_QC,236110,0,22994,0,US-ARM
PA_F_QC,250627,0,8477,0,US-ARM
G_F_MDS_QC,173986,20106,19251,34298,US-ARM
LE_F_MDS_QC,227623,25977,4864,640,US-ARM
H_F_MDS_QC,248438,7931,2329,406,US-ARM
NEE_VUT_REF_QC,165388,79751,12846,1119,US-ARM
NEE_CUT_REF_QC,163656,80570,13578,1300,US-ARM
TA_F_QC,207904,5319,17465,0,US-Me2
SW_IN_F_QC,228941,966,781,0,US-Me2
LW_IN_F_QC,0,0,230688,0,US-Me2
VPD_F_QC,204778,6686,19224,0,US-Me2
P_F_QC,227966,0,2722,0,US-Me2
PA_F_QC,166696,0,63992,0,US-Me2
G_F_MDS_QC,87940,1530,3860,14479,US-Me2
LE_F_MDS_QC,103503,22110,1046,120,US-Me2
H_F_MDS_QC,111828,14119,716,116,US-Me2
NEE_VUT_REF_QC,55075,155508,19190,915,US-Me2
NEE_CUT_REF_QC,55675,154793,19160,1060,US-Me2
TA_F_QC,184833,4098,2973,0,US-UMB
SW_IN_F_QC,188356,559,2989,0,US-UMB
LW_IN_F_QC,0,0,191904,0,US-UMB
VPD_F_QC,167469,21393,3042,0,US-UMB
P_F_QC,190053,0,1851,0,US-UMB
PA_F_QC,184211,0,7693,0,US-UMB
G_F_MDS_QC,0,0,0,0,US-UMB
LE_F_MDS_QC,0,0,0,0,US-UMB
H_F_MDS_QC,0,0,0,0,US-UMB
NEE_VUT_REF_QC,93256,91939,6101,608,US-UMB
NEE_CUT_REF_QC,92582,92608,6118,596,US-UMB
TA_F_QC,164905,8610,1013,0,US-Vcp
SW_IN_F_QC,171379,1580,1569,0,US-Vcp
LW_IN_F_QC,0,0,174528,0,US-Vcp
VPD_F_QC,149022,9745,15761,0,US-Vcp
P_F_QC,115066,0,59462,0,US-Vcp
PA_F_QC,169772,0,4756,0,US-Vcp
G_F_MDS_QC,0,0,0,0,US-Vcp
LE_F_MDS_QC,0,0,0,0,US-Vcp
H_F_MDS_QC,0,0,0,0,US-Vcp
NEE_VUT_REF_QC,70948,95952,6987,641,US-Vcp
NEE_CUT_REF_QC,70404,96060,7416,648,US-Vcp
TA_F_QC,278102,1258,9024,0,CH-Lae
SW_IN_F_QC,277629,1173,9561,21,CH-Lae
LW_IN_F_QC,260919,1497,25968,0,CH-Lae
VPD_F_QC,278014,1346,9024,0,CH-Lae
P_F_QC,272208,0,0,0,CH-Lae
PA_F_QC,245053,0,27155,0,CH-Lae
G_F_MDS_QC,0,0,0,0,CH-Lae
LE_F_MDS_QC,182597,102424,3087,276,CH-Lae
H_F_MDS_QC,226736,60632,994,22,CH-Lae
NEE_VUT_REF_QC,89467,183615,14415,887,CH-Lae
NEE_CUT_REF_QC,94121,180453,12672,1138,CH-Lae
TA_F_QC,234618,3356,1642,0,ES-LJu
SW_IN_F_QC,230126,1421,8069,0,ES-LJu
LW_IN_F_QC,0,0,239616,0,ES-LJu
VPD_F_QC,227728,7392,4496,0,ES-LJu
P_F_QC,209448,0,30168,0,ES-LJu
PA_F_QC,229143,0,10473,0,ES-LJu
G_F_MDS_QC,233686,3443,1457,1030,ES-LJu
LE_F_MDS_QC,199073,37078,2609,856,ES-LJu
H_F_MDS_QC,217577,18929,2273,837,ES-LJu
NEE_VUT_REF_QC,105053,125237,7594,1732,ES-LJu
NEE_CUT_REF_QC,108549,121605,7291,2171,ES-LJu
TA_F_QC,385754,9970,4594,7154,FI-Hyy
SW_IN_F_QC,402073,1267,4132,0,FI-Hyy
LW_IN_F_QC,167226,6634,233612,0,FI-Hyy
VPD_F_QC,324133,26799,49386,7154,FI-Hyy
P_F_QC,370634,0,19270,0,FI-Hyy
PA_F_QC,381522,0,8382,0,FI-Hyy
G_F_MDS_QC,233156,29209,3016,3372,FI-Hyy
LE_F_MDS_QC,350420,54003,2982,67,FI-Hyy
H_F_MDS_QC,353795,50807,2801,69,FI-Hyy
NEE_VUT_REF_QC,187212,208953,10958,349,FI-Hyy
NEE_CUT_REF_QC,189339,207207,10564,362,FI-Hyy
TA_F_QC,290263,1175,6402,0,IT-Lav
SW_IN_F_QC,293731,2030,2079,0,IT-Lav
LW_IN_F_QC,290245,1192,6403,0,IT-Lav
VPD_F_QC,290258,1180,6402,0,IT-Lav
P_F_QC,229477,0,50795,0,IT-Lav
PA_F_QC,215978,0,64294,0,IT-Lav
G_F_MDS_QC,272042,970,2196,3306,IT-Lav
LE_F_MDS_QC,167458,125506,4045,831,IT-Lav
H_F_MDS_QC,185770,107483,3779,808,IT-Lav
NEE_VUT_REF_QC,103368,182631,10598,1243,IT-Lav
NEE_CUT_REF_QC,101168,184725,10729,1218,IT-Lav
